userId,locationId,rating
112,1,3
83,1,4
21,1,2
71,1,2
113,2,1
69,2,1
23,2,0
109,2,0
184,3,3
163,3,0
37,3,3
20,3,2
134,4,2
148,4,4
94,4,5
1,4,3
59,5,0
169,5,1
163,5,0
4,5,4
151,6,1
78,6,3
128,6,2
169,6,0
115,7,5
18,7,1
57,7,1
182,7,1
61,8,5
196,8,2
102,8,0
164,8,2
88,9,0
68,9,4
61,9,3
173,9,0
46,10,1
29,10,1
59,10,5
26,10,2
165,11,2
84,11,4
163,11,0
65,11,4
67,12,5
109,12,0
182,12,1
149,12,2
84,13,4
134,13,0
70,13,3
142,13,0
77,14,4
119,14,2
178,14,0
115,14,2
113,15,5
86,15,2
93,15,5
195,15,0
86,16,4
177,16,1
31,16,4
153,16,4
121,17,1
180,17,1
154,17,3
134,17,5
59,18,2
37,18,4
119,18,0
152,18,3
91,19,1
142,19,5
190,19,4
182,19,2
193,20,1
40,20,3
22,20,5
89,20,2
147,21,1
97,21,1
121,21,2
193,21,3
196,22,3
107,22,4
20,22,4
86,22,1
16,23,1
102,23,4
160,23,2
58,23,5
167,24,1
23,24,2
109,24,5
33,24,2
7,25,2
23,25,4
13,25,4
128,25,5
81,26,0
168,26,4
29,26,5
118,26,2
23,27,5
180,27,1
44,27,0
168,27,4
176,28,1
121,28,5
158,28,3
186,28,5
119,29,2
87,29,2
117,29,0
192,29,4
12,30,2
153,30,1
1,30,5
40,30,3
60,31,2
117,31,0
56,31,1
127,31,4
2,32,5
23,32,5
152,32,4
137,32,4
62,33,2
20,33,3
109,33,1
182,33,2
146,34,0
41,34,1
48,34,5
57,34,0
100,35,1
160,35,4
9,35,3
97,35,5
187,36,5
28,36,0
18,36,5
165,36,5
126,37,5
27,37,5
14,37,4
190,37,3
187,38,3
48,38,4
181,38,1
174,38,0
154,39,1
107,39,2
17,39,0
163,39,4
60,40,0
82,40,1
14,40,3
95,40,0
1,31,0
1,20,0
1,15,0
1,36,4
1,18,2
1,37,0
1,12,0
1,34,3
1,23,5
1,15,1
1,1,4
2,27,3
2,22,4
2,6,3
2,21,1
2,38,5
2,32,4
2,24,0
2,10,2
2,29,1
2,12,0
2,5,4
2,7,2
2,15,3
2,31,4
3,11,5
3,1,4
3,36,0
3,14,4
3,30,2
3,31,5
3,17,2
3,18,0
3,7,0
3,29,4
3,19,5
3,14,3
3,28,3
3,32,4
3,30,0
4,15,1
4,38,4
4,16,1
4,7,5
4,11,4
4,27,1
4,20,2
4,4,5
4,9,4
4,12,3
4,34,1
4,29,2
4,8,1
4,36,5
5,3,0
5,29,4
5,15,0
5,39,5
5,17,0
5,3,2
5,5,0
5,37,1
5,33,5
5,34,2
5,29,2
5,13,2
5,15,1
5,22,2
5,35,5
6,4,1
6,32,2
6,2,1
6,37,2
6,25,1
6,13,3
6,22,2
6,18,2
6,15,3
6,8,0
6,35,1
6,32,0
6,24,4
6,31,0
6,29,3
7,38,0
7,14,1
7,24,3
7,35,5
7,4,5
7,27,4
7,9,5
7,11,4
7,12,2
7,1,4
7,34,3
7,33,1
7,23,4
8,12,3
8,21,0
8,22,1
8,25,2
8,20,5
8,21,1
8,29,5
8,18,4
8,21,5
8,22,5
8,16,0
8,4,5
8,38,0
8,35,4
8,2,5
9,3,1
9,3,0
9,24,4
9,2,2
9,1,0
9,1,2
9,16,4
9,5,3
9,28,1
9,2,3
9,9,4
9,29,5
9,3,4
9,35,0
10,11,3
10,32,0
10,19,1
10,10,3
10,12,2
10,8,1
10,21,0
10,3,4
10,21,3
10,4,2
10,11,5
10,25,4
10,16,0
10,13,1
10,29,3
11,39,1
11,24,1
11,18,4
11,11,0
11,37,2
11,20,1
11,3,3
11,39,5
11,38,0
11,39,2
11,5,0
11,25,3
11,19,2
11,13,4
11,31,0
12,20,0
12,7,1
12,16,2
12,15,4
12,14,3
12,31,3
12,38,1
12,9,5
12,11,3
12,30,0
12,13,3
12,3,3
12,37,1
12,10,4
13,11,0
13,18,0
13,13,0
13,2,0
13,32,2
13,27,0
13,31,5
13,23,3
13,26,0
13,10,5
14,16,5
14,18,3
14,4,4
14,11,0
14,30,2
14,1,2
14,25,3
14,20,0
14,29,1
14,12,3
14,14,0
14,33,2
15,15,4
15,39,4
15,24,3
15,16,3
15,33,1
15,31,4
15,18,2
15,1,3
